reg_number;law;method;status;subject;customer;customer_code;price_rub;published;updated;deadline;url
0373200055226000023;44-ФЗ;Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона № 44-ФЗ;Подача заявок;;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 8 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""";03732000552;651000.0;22.09.2026;22.09.2026;;/epz/order/notice/ezt20/view/common-info.html?regNumber=0373200055226000023
0335100006826000046;44-ФЗ;Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона № 44-ФЗ;Работа комиссии;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ ПУЛЬМОНОЛОГИЧЕСКИЙ САНАТОРИЙ ""ОТРАДНОЕ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ";03351000068;94972.2;22.09.2026;22.09.2026;;/epz/order/notice/ezt20/view/common-info.html?regNumber=0335100006826000046
0373500002826000009;44-ФЗ;Открытый конкурс в электронной форме;Подача заявок;Выполнение мероприятий по восстановлению зеленых насаждений г. Москвы (лот 24);"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСРЕМОНТ""";03735000028;28562065.44;22.09.2026;22.09.2026;09.10.2026;/epz/order/notice/ok20/view/common-info.html?regNumber=0373500002826000009
0136300019926000079;44-ФЗ;Запрос котировок в электронной форме;Подача заявок;Поставка нефтепродуктов (ДТ) для транспортных средств на 4 квартал 2026 года;АДМИНИСТРАЦИЯ ЛЕСНОГО МУНИЦИПАЛЬНОГО ОКРУГА ТВЕРСКОЙ ОБЛАСТИ;01363000199;221784.0;21.09.2026;22.09.2026;29.09.2026;/epz/order/notice/zk20/view/common-info.html?regNumber=0136300019926000079
0351600002626000144;44-ФЗ;Запрос котировок в электронной форме;Подача заявок;Поставка хозяйственных товаров;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА НОВОСИБИРСКА ""ГОРОДСКОЙ ЦЕНТР АКТИВНОГО ДОЛГОЛЕТИЯ, РЕАБИЛИТАЦИИ""";03516000026;98960.12;22.09.2026;22.09.2026;29.09.2026;/epz/order/notice/zk20/view/common-info.html?regNumber=0351600002626000144
0348200087526000083;44-ФЗ;Электронный аукцион;Подача заявок;Поставка системных блоков и мониторов для оснащения лабораторий информационного и BIM-моделирования для реализации образовательной программы 08.02.15 «Информационное моделирование в строительстве»;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""ЭЛЕКТРОСТАЛЬСКИЙ КОЛЛЕДЖ""";03482000875;10019653.2;16.09.2026;22.09.2026;29.09.2026;/epz/order/notice/ea20/view/common-info.html?regNumber=0348200087526000083
0360300199926000243;44-ФЗ;Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона № 44-ФЗ;Подача заявок;;"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САРАТОВСКАЯ ГОРОДСКАЯ ДЕТСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА""";03603001999;4912.0;22.09.2026;22.09.2026;;/epz/order/notice/ezt20/view/common-info.html?regNumber=0360300199926000243
0351300088326000012;44-ФЗ;Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона № 44-ФЗ;Определение поставщика завершено;;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА НОВОСИБИРСКА ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 7""";03513000883;231000.0;22.09.2026;22.09.2026;;/epz/order/notice/ezt20/view/common-info.html?regNumber=0351300088326000012
0873500001826009862;44-ФЗ;Электронный аукцион;Подача заявок;Аукцион в электронной форме на право заключения контракта на поставку лекарственных препаратов (Топирамат) для обеспечения граждан, имеющих право на получение государственной социальной помощи в городе Москве (УНЗ: Z271020);"ФИЛИАЛ № 1 ГКУ ""АЗ (КС) ДЗМ""";08735000018;373455.6;22.09.2026;22.09.2026;30.09.2026;/epz/order/notice/ea20/view/common-info.html?regNumber=0873500001826009862
0362200044826000049;44-ФЗ;Запрос котировок в электронной форме;Подача заявок;Одежда и обувь для воспитанников;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ НЕСОВЕРШЕННОЛЕТНИХ ГОРОДА НИЖНЯЯ ТУРА""";03622000448;56107.14;22.09.2026;22.09.2026;29.09.2026;/epz/order/notice/zk20/view/common-info.html?regNumber=0362200044826000049
0136300019926000080;44-ФЗ;Запрос котировок в электронной форме;Подача заявок;Поставка нефтепродуктов (АИ-92, АИ-95, ДТ) для транспортных средств на 4 квартал 2026 года;АДМИНИСТРАЦИЯ ЛЕСНОГО МУНИЦИПАЛЬНОГО ОКРУГА ТВЕРСКОЙ ОБЛАСТИ;01363000199;1548455.0;21.09.2026;22.09.2026;29.09.2026;/epz/order/notice/zk20/view/common-info.html?regNumber=0136300019926000080
0360300019826000171;44-ФЗ;Запрос котировок в электронной форме;Подача заявок;Поставка ленты диаграммной;"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САРАТОВСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 9""";03603000198;28204.4;22.09.2026;22.09.2026;29.09.2026;/epz/order/notice/zk20/view/common-info.html?regNumber=0360300019826000171
0188300003826000001;44-ФЗ;Электронный аукцион;Работа комиссии;Предоставление неисключительных прав на программное обеспечение;УПРАВЛЕНИЕ ФИНАНСОВ, ЭКОНОМИКИ И ИМУЩЕСТВЕННЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОКРУГА ЭГВЕКИНОТ;01883000038;828000.0;14.09.2026;22.09.2026;22.09.2026;/epz/order/notice/ea20/view/common-info.html?regNumber=0188300003826000001
0321500001526000317;44-ФЗ;Электронный аукцион;Подача заявок;"Поставка инертных материалов для нужд Буденновского филиала ГБУ СК ""Стававтодор""";"БУДЕННОВСКИЙ ФИЛИАЛ ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""СТАВАВТОДОР"" (БУДЕННОВСКИЙ ФИЛИАЛ ГБУ СК ""СТАВАВТОДОР"")";03215000015;2997981.88;22.09.2026;22.09.2026;30.09.2026;/epz/order/notice/ea20/view/common-info.html?regNumber=0321500001526000317
0334300032826000059;44-ФЗ;Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона № 44-ФЗ;Определение поставщика завершено;;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ИРКУТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА №15""";03343000328;11290.0;22.09.2026;22.09.2026;;/epz/order/notice/ezt20/view/common-info.html?regNumber=0334300032826000059
0332200003726000025;44-ФЗ;Запрос котировок в электронной форме;Подача заявок;Поставка термопота;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""НИЖЕГОРОДСКИЙ ОБЛАСТНОЙ ДОМ ВЕТЕРАНОВ""";03322000037;10250.0;22.09.2026;22.09.2026;29.09.2026;/epz/order/notice/zk20/view/common-info.html?regNumber=0332200003726000025
0373200138226000790;44-ФЗ;Электронный аукцион;Подача заявок;Поставка блоков управления аварийным освещением для нужд ГБУК г. Москвы «МКЗ «Зарядье»;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ТЕХНИЧЕСКИЙ ЦЕНТР ДЕПАРТАМЕНТА КУЛЬТУРЫ ГОРОДА МОСКВЫ""";03732001382;1141766.67;22.09.2026;22.09.2026;30.09.2026;/epz/order/notice/ea20/view/common-info.html?regNumber=0373200138226000790
0873500001826009861;44-ФЗ;Электронный аукцион;Подача заявок;Аукцион в электронной форме на право заключения контракта на поставку лекарственных препаратов (Такролимус) для обеспечения граждан, имеющих право на получение государственной социальной помощи в городе Москве (УНЗ: Z271017);"ФИЛИАЛ № 1 ГКУ ""АЗ (КС) ДЗМ""";08735000018;260675.1;22.09.2026;22.09.2026;30.09.2026;/epz/order/notice/ea20/view/common-info.html?regNumber=0873500001826009861
0318300174026000145;44-ФЗ;Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона № 44-ФЗ;Работа комиссии;;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА № 27 ГОРОДА КРАСНОДАРА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КРАСНОДАРСКОГО КРАЯ";03183001740;31800.0;22.09.2026;22.09.2026;;/epz/order/notice/ezt20/view/common-info.html?regNumber=0318300174026000145
0357200021226000035;44-ФЗ;Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона № 44-ФЗ;Работа комиссии;;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ПСКОВСКОЙ ОБЛАСТИ ""ЦЕНТР ИНФОРМАЦИОННЫХ СИСТЕМ ПСКОВСКОЙ ОБЛАСТИ""";03572000212;43000.0;22.09.2026;22.09.2026;;/epz/order/notice/ezt20/view/common-info.html?regNumber=0357200021226000035
0352200045826000105;44-ФЗ;Электронный аукцион;Подача заявок;Поставка товара хозяйственного назначения (бордюр, сетка) (Реестровый номер 2026.061221);"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ОМСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО ОХРАНЕ ЖИВОТНОГО МИРА""";03522000458;17111.36;22.09.2026;22.09.2026;30.09.2026;/epz/order/notice/ea20/view/common-info.html?regNumber=0352200045826000105
0372200119926000104;44-ФЗ;Электронный аукцион;Подача заявок;Оказание услуг по ремонту принтеров и копировальной техники для СПб ГБУЗ «Городская поликлиника № 96»;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА № 96""";03722001199;500000.0;22.09.2026;22.09.2026;30.09.2026;/epz/order/notice/ea20/view/common-info.html?regNumber=0372200119926000104
0136300019926000081;44-ФЗ;Запрос котировок в электронной форме;Подача заявок;Поставка нефтепродуктов (АИ-92) для транспортных средств на 3 квартал 2026 года;АДМИНИСТРАЦИЯ ЛЕСНОГО МУНИЦИПАЛЬНОГО ОКРУГА ТВЕРСКОЙ ОБЛАСТИ;01363000199;164812.8;21.09.2026;22.09.2026;29.09.2026;/epz/order/notice/zk20/view/common-info.html?regNumber=0136300019926000081
0369200023326000146;44-ФЗ;Электронный аукцион;Подача заявок;Лекарственные препараты;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ОБЛАСТНАЯ СПЕЦИАЛИЗИРОВАННАЯ ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА № 4""";03692000233;204310.0;22.09.2026;22.09.2026;30.09.2026;/epz/order/notice/ea20/view/common-info.html?regNumber=0369200023326000146
0372200062126000034;44-ФЗ;Электронный аукцион;Подача заявок;Поставка пылесоса моющего для нужд ГБДОУ детский сад № 17 комбинированного вида Фрунзенского района Санкт-Петербурга;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД №17 КОМБИНИРОВАННОГО ВИДА ФРУНЗЕНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;03722000621;904601.1;22.09.2026;22.09.2026;01.10.2026;/epz/order/notice/ea20/view/common-info.html?regNumber=0372200062126000034
0372200073826000012;44-ФЗ;Запрос котировок в электронной форме;Подача заявок;ПОСТАВКА ТРЕНАЖЕРА ДЛЯ ПРОФЕССИОНАЛЬНОГО ОБУЧЕНИЯ;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД № 81 КОМБИНИРОВАННОГО ВИДА ФРУНЗЕНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;03722000738;66966.67;22.09.2026;22.09.2026;29.09.2026;/epz/order/notice/zk20/view/common-info.html?regNumber=0372200073826000012
0357200017926000027;44-ФЗ;Электронный аукцион;Определение поставщика завершено;Фрукты на 4 квартал;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ПСКОВСКОЙ ОБЛАСТИ ""ПАВСКИЙ ДОМ-ИНТЕРНАТ ДЛЯ ПРЕСТАРЕЛЫХ И ИНВАЛИДОВ""";03572000179;148260.0;14.09.2026;22.09.2026;22.09.2026;/epz/order/notice/ea20/view/common-info.html?regNumber=0357200017926000027
